PKLocNb;NPA;LocName
603;1817;Brent
604;3526;Brenzikofen
605;2904;Bressaucourt
606;1041;Bretigny-sur-Morrens
607;1329;Bretonnières
608;4207;Bretzwil
609;3855;Brienz BE
610;7084;Brienz GR
611;3856;Brienzwiler
612;3900;Brig
613;3901;Brig Ausgänge
614;3941;Brig Ausgänge
615;3981;Brig Ausgänge
616;3900;Brig Briefausgabe
617;3900;Brig Reg Postautozentrum
618;3900;Brigerbad
619;6634;Brione (Verzasca)
620;6645;Brione sopra Minusio
621;4225;Brislach
622;6614;Brissago
623;6475;Bristen
624;4805;Brittnau
625;1636;Broc
626;6693;Broglio
627;9552;Bronschhofen
628;6692;Brontallo
629;2318;Brot-Dessus
630;2318;Brot-Plamboz
631;4101;Bruderholz
632;5200;Brugg AG
633;5201;Brugg AG
634;5200;Brugg AG 1
635;5200;Brugg AG 3
636;2555;Brügg b. Biel
637;4582;Brügglen
638;9058;Brülisau
639;5505;Brunegg
640;6082;Brünig
641;1719;Brünisried
642;9125;Brunnadern
643;6440;Brunnen
644;3307;Brunnenthal
645;6882;Brusata (Novazzano)
646;6923;Brusino Arsizio
647;7743;Brusio
648;1934;Bruson
649;2578;Brüttelen
650;8311;Brütten
651;8306;Brüttisellen
652;6831;Bruzella
653;4416;Bubendorf
654;8608;Bubikon
655;8414;Buch am Irchel
656;8533;Buch b. Frauenfeld
657;9563;Buch b. Märwil
658;8263;Buch SH
659;8586;Buchackern
660;8454;Buchberg
661;7223;Buchen im Prättigau
662;1164;Buchillon
663;6033;Buchrain
664;5033;Buchs AG
665;6211;Buchs LU
666;9470;Buchs SG
667;9470;Buchs SG 1
668;9470;Buchs SG 2
669;9470;Buchs SG 3
670;8107;Buchs ZH
671;3215;Büchslen
672;4446;Buckten
673;3263;Büetigen
674;3274;Bühl b. Aarberg
675;9055;Bühler
676;9215;Buhwil
677;2925;Buix
678;8180;Bülach
679;1630;Bulle
680;1631;Bulle centre de traitemen
681;1453;Bullet
682;6197;Bumbach
683;5624;Bünzen
684;6374;Buochs
685;6343;Buonas
686;3935;Bürchen
687;2915;Bure
688;3294;Büren an der Aare
689;6382;Büren NW
690;4413;Büren SO
691;3313;Büren zum Hof
692;5736;Burg AG
693;4117;Burg im Leimental
694;4556;Burgäschi
695;3400;Burgdorf
696;3401;Burgdorf
697;3402;Burgdorf
698;3400;Burgdorf 1
699;3400;Burgdorf Ausgabe
700;6363;Bürgenstock
701;8805;Burghalden
702;3134;Burgistein Dorf
703;3134;Burgistein Station
704;3816;Burglauenen
705;6077;Bürglen OW
706;8575;Bürglen TG
707;6463;Bürglen UR
708;6233;Büron
709;1195;Bursinel
710;1183;Bursins
711;1261;Burtigny
712;6542;Buseno
713;8238;Büsingen (D)
714;4227;Büsserach
715;1030;Bussigny-près-Lausanne
716;1608;Bussigny-sur-Oron
717;9565;Bussnang
718;3292;Busswil b. Büren
719;4917;Busswil b. Melchnau
720;9572;Busswil TG
721;1541;Bussy FR
722;1136;Bussy-Chardonney
723;1514;Bussy-sur-Moudon
724;9606;Bütschwil
725;8236;Büttenhardt
726;2115;Buttes
727;5619;Büttikon AG
728;8863;Buttikon SZ
729;6018;Buttisholz
730;5632;Buttwil
731;4922;Bützberg
732;4463;Buus
733;6831;Cabbio
734;6558;Cabbiolo
735;6658;Cadanza
736;6936;Cademario
737;6936;Cademario Casa di cura
738;6814;Cadempino
739;6593;Cadenazzo
740;6965;Cadro
741;6955;Cagiallo
742;7027;Calfreisen
743;6746;Calonico
744;6760;Calpiogna
745;6557;Cama
746;6659;Camedo
747;6803;Camignolo
748;7187;Camischolas
749;6528;Camorino
750;7748;Campascio
751;6760;Campello
752;6718;Camperio
753;6911;Campione d'Italia
754;6711;Campo (Blenio)
755;6684;Campo (Vallemaggia)
756;7744;Campocologno
757;7446;Campsut-Cröt
758;7113;Camuns
759;6831;Caneggio
760;6952;Canobbio
761;6825;Capolago
762;6913;Carabbia
763;6919;Carabietta
764;6584;Carena
765;6760;Cari
766;6945;Carnago
767;6914;Carona
768;1227;Carouge GE
769;7122;Carrera
770;1084;Carrouge VD
771;1236;Cartigny
772;7602;Casaccia
773;6851;Casima
774;6987;Caslano
775;6900;Cassarate
776;6990;Cassina d'Agno
777;6976;Castagnola
778;6540;Castaneda
779;7608;Castasegna
780;6874;Castel S. Pietro
781;6981;Castelrotto
782;7027;Castiel
783;6532;Castione
784;7126;Castrisch
785;6711;Castro
786;6546;Cauco
787;1824;Caux
788;6749;Cavagnago
789;7182;Cavardiras
790;6690;Cavergno
791;6578;Caviano
792;6654;Cavigliano
793;7408;Cazis
794;7505;Celerina/Schlarigna
795;1298;Céligny
796;6683;Cerentino
797;1654;Cerniat FR
798;1556;Cerniaz VD
799;2053;Cernier
800;6951;Certara
801;6675;Cevio
802;1474;Châbles FR
803;1589;Chabrey
804;1816;Chailly-Montreux
805;3966;Chalais
806;6330;Cham
807;1292;Chambésy
808;1436;Chamblon
809;2202;Chambrelien
810;1832;Chamby
811;1955;Chamoson
812;1424;Champagne
813;2149;Champ-du-Moulin
814;1874;Champéry
815;1938;Champex
816;7512;Champfèr
817;1588;Champmartin
818;2735;Champoz
819;1487;Champtauroz
820;1443;Champvent
821;1284;Chancy
822;3961;Chandolin
823;1773;Chandon
824;1409;Chanéaz
825;1534;Chapelle (Broye)
826;1608;Chapelle (Glâne)
827;1063;Chapelle-sur-Moudon
828;1803;Chardonne
829;1637;Charmey (Gruyère)
830;2947;Charmoille
831;1906;Charrat
832;1837;Château-d'Oex
833;1950;Châteauneuf (Sion)
834;1219;Châtelaine
835;1219;Châtelaine Cases
836;2715;Châtelat
837;2715;Châtelat-Monible
